0	52.68
1	129.96
10	642.03
100	44606973.00
11	696.81
12	798.35
13	938.74
14	1033.73
15	1102.48
16	1261.83
17	1393.94
18	1557.38
19	1697.84
2	175.94
20	1942.71
21	2055.83
22	2249.94
23	2452.51
24	2911.26
25	3215.59
26	3505.61
27	3741.11
28	4336.70
29	4805.68
3	236.83
30	5286.93
31	6182.17
32	6764.35
33	7805.22
34	8277.43
35	9921.78
36	10034.07
37	12591.49
38	13596.33
39	15052.69
4	280.39
40	16471.60
41	19299.80
42	21872.24
43	25291.44
44	28688.01
45	32333.27
46	36208.54
47	44088.92
48	44434.76
49	53074.16
5	321.74
50	59792.09
51	68922.25
52	80170.04
53	90534.82
54	99690.62
55	120011.31
56	141049.63
57	149623.81
58	178629.32
59	211627.89
6	367.33
60	251667.60
61	281564.02
62	326539.66
63	359087.70
64	387554.09
65	472307.13
66	512349.96
67	599245.18
68	672452.17
69	803271.67
7	445.99
70	1011968.09
71	1112312.57
72	1173447.72
73	1280791.04
74	1621008.24
75	1836667.86
76	2361637.05
77	2470028.87
78	2298407.40
79	3011619.19
8	500.54
80	4030446.00
81	3591595.08
82	4394205.37
83	6143901.83
84	5756106.67
85	11140251.82
86	7209348.25
87	9222724.47
88	9445855.95
89	19143216.14
9	591.00
90	11762405.15
91	11738337.55
92	29910872.38
93	17925225.83
94	29933224.50
95	29428276.00
96	26642932.33
98	41843579.67
